                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.3249,                 1.5904,                 1.6601,                0.35201,                0.49054,                0.44158,                0.28098,                 1.6054,                 2.0103,                 2.1725,             0.00085368,             0.00085368,             0.00085368
                    124,                 1.3819,                  1.567,                 1.6696,                0.41579,                0.79448,                0.63258,                0.38378,                 1.3933,                 1.2398,                 1.8246,             0.00084897,             0.00084897,             0.00084897
                    125,                 1.3402,                 1.4824,                 1.6631,                0.50107,                0.73998,                0.69197,                0.42105,                 1.3476,                 1.4323,                 1.8778,             0.00084425,             0.00084425,             0.00084425
                    126,                 1.3054,                 1.4949,                 1.6279,                0.54044,                0.69908,                0.59739,                0.40481,                 1.5568,                 1.4775,                 2.0757,             0.00083954,             0.00083954,             0.00083954
                    127,                 1.3398,                 1.4799,                 1.6227,                 0.4246,                0.61966,                0.50995,                0.32339,                 1.2812,                 1.6636,                 1.7875,             0.00083482,             0.00083482,             0.00083482
                    128,                 1.4543,                 1.5974,                  1.734,                0.49044,                0.58882,                0.57285,                0.39399,                 1.4626,                 1.4555,                 1.9391,             0.00083011,             0.00083011,             0.00083011
                    129,                 1.3676,                 1.5468,                 1.6615,                0.41626,                0.54212,                0.52484,                0.36205,                  1.267,                 1.3112,                 1.8395,             0.00082539,             0.00082539,             0.00082539
                    130,                 1.3222,                 1.4565,                 1.6219,                0.48747,                0.51679,                 0.5716,                0.37216,                 1.6758,                 1.5105,                 2.0925,             0.00082067,             0.00082067,             0.00082067
                    131,                 1.3028,                 1.4624,                 1.6161,                0.34216,                0.73563,                0.57071,                0.36828,                 1.2948,                 1.2889,                 1.7885,             0.00081596,             0.00081596,             0.00081596
                    132,                 1.2858,                 1.4432,                 1.6228,                0.58883,                0.74634,                0.69787,                0.43763,                  1.409,                 1.1708,                 1.8636,             0.00081124,             0.00081124,             0.00081124
                    133,                  1.273,                 1.3998,                 1.5756,                0.43643,                0.51648,                0.48401,                 0.3168,                 1.5026,                 1.5881,                 1.9479,             0.00080653,             0.00080653,             0.00080653
                    134,                  1.311,                 1.4145,                 1.5996,                 0.3774,                0.58578,                0.49434,                0.33875,                 1.3279,                 1.3053,                 1.8302,             0.00080181,             0.00080181,             0.00080181
                    135,                 1.3172,                 1.4527,                 1.6293,                0.47964,                0.59854,                0.59219,                0.38928,                  1.493,                 1.4797,                 1.9224,              0.0007971,              0.0007971,              0.0007971
                    136,                 1.2674,                 1.3554,                 1.5652,                0.52734,                0.66747,                0.63419,                 0.4267,                 1.3271,                 1.6462,                 1.8239,             0.00079238,             0.00079238,             0.00079238
